Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Add a variable to access within testcase,AddVar,Mail_Ingestion:Mail_UserID,%OutlookUsername%,
2,Browser,Add a variable to access within testcase,AddVar,Mail_Ingestion:Mail_Pwd,%OutlookPassword%,
3,Browser,Add a variable to access within testcase,AddVar,Mail_Ingestion:Ingestion_MailBox,%ClaimsFaxUser%,
4,Browser,Add a variable to access within testcase,AddVar,Mail_Ingestion:ClaimFormat,%ClaimFormat%,
5,Browser,Add a variable to access within testcase,AddVar,Mail_Ingestion:FileLocation,%FileLoc%,
6,Browser,Add a variable to access within testcase,AddVar,Mail_Ingestion:Type,%Type%,
"*7",Browser,Send Fax to Claims Common Mailbox with Attachments,PSIC_ClaimFaxAttachment,Mail_Ingestion:Ingestion_MailBox,"%OutlookUsername%,%OutlookPassword%,%ClaimsFaxUser%,%ClaimFormat%,%FileLoc%,%Type%",
8,Browser,"Refresh current page ",refreshDriver,,,
9,Browser,To delete all the cookies,ClearCache,,,
10,Browser,DeleteALLCookies,DeleteALLCookies,,,
